tiempo,diag_group,iafas,tipo_consumo,TOTAL_NETO
2021-01-01,Colon,FISSAL,INSUMO,127611.371
2021-01-01,Colon,FISSAL,MEDICAMENTO,24353.99
2021-01-01,Colon,FISSAL,PROCEDIMIENTO,101911.3
2021-01-01,Colon,SIS,PROCEDIMIENTO,54.12
2021-01-01,Cuello uterino,FISSAL,INSUMO,128168.68
2021-01-01,Cuello uterino,FISSAL,MEDICAMENTO,115152.3207
2021-01-01,Cuello uterino,FISSAL,PROCEDIMIENTO,287981.1
2021-01-01,Cuello uterino,SIS,PROCEDIMIENTO,769.18
2021-01-01,Estómago,FISSAL,INSUMO,93169.06
2021-01-01,Estómago,FISSAL,MEDICAMENTO,34770.8592
2021-01-01,Estómago,FISSAL,PROCEDIMIENTO,80026.04
2021-01-01,Estómago,SIS,PROCEDIMIENTO,3.5
2021-01-01,Leucemias,FISSAL,INSUMO,411551.772
2021-01-01,Leucemias,FISSAL,MEDICAMENTO,512881.9996
2021-01-01,Leucemias,FISSAL,PROCEDIMIENTO,997997.36
2021-01-01,Leucemias,SIS,INSUMO,383.0
2021-01-01,Leucemias,SIS,MEDICAMENTO,218.13
2021-01-01,Leucemias,SIS,PROCEDIMIENTO,935.15
2021-01-01,Linfomas,FISSAL,INSUMO,140417.453
2021-01-01,Linfomas,FISSAL,MEDICAMENTO,183981.0045
2021-01-01,Linfomas,FISSAL,PROCEDIMIENTO,319306.86
2021-01-01,Linfomas,SIS,PROCEDIMIENTO,489.29
2021-01-01,Mama,FISSAL,INSUMO,132082.294
2021-01-01,Mama,FISSAL,MEDICAMENTO,362387.78369999997
2021-01-01,Mama,FISSAL,PROCEDIMIENTO,438461.25
2021-01-01,Mama,SIS,INSUMO,0.0
2021-01-01,Mama,SIS,MEDICAMENTO,0.0
2021-01-01,Mama,SIS,PROCEDIMIENTO,1086.49
2021-01-01,No oncológico (comparador),FISSAL,INSUMO,10911.79
2021-01-01,No oncológico (comparador),FISSAL,MEDICAMENTO,3831.56
2021-01-01,No oncológico (comparador),FISSAL,PROCEDIMIENTO,17803.31
2021-01-01,No oncológico (comparador),SIS,INSUMO,45125.52
2021-01-01,No oncológico (comparador),SIS,MEDICAMENTO,177956.6344
2021-01-01,No oncológico (comparador),SIS,PROCEDIMIENTO,196285.03
2021-01-01,Otro,FISSAL,INSUMO,34963.644
2021-01-01,Otro,FISSAL,MEDICAMENTO,13059.7772
2021-01-01,Otro,FISSAL,PROCEDIMIENTO,45822.04
2021-01-01,Otro,SIS,INSUMO,1065691.524
2021-01-01,Otro,SIS,MEDICAMENTO,1777582.5781
2021-01-01,Otro,SIS,PROCEDIMIENTO,1808176.79
2021-01-01,Próstata,FISSAL,INSUMO,38549.771
2021-01-01,Próstata,FISSAL,MEDICAMENTO,43405.9301
2021-01-01,Próstata,FISSAL,PROCEDIMIENTO,89982.33
2021-01-01,Próstata,SIS,MEDICAMENTO,332.0
2021-01-01,Próstata,SIS,PROCEDIMIENTO,0.0
2021-02-01,Colon,FISSAL,INSUMO,107341.07
2021-02-01,Colon,FISSAL,MEDICAMENTO,64687.486000000004
2021-02-01,Colon,FISSAL,PROCEDIMIENTO,61832.909999999996
2021-02-01,Colon,SIS,INSUMO,2.0
2021-02-01,Colon,SIS,MEDICAMENTO,80.0
2021-02-01,Colon,SIS,PROCEDIMIENTO,289.67999999999995
2021-02-01,Cuello uterino,FISSAL,INSUMO,131652.3
2021-02-01,Cuello uterino,FISSAL,MEDICAMENTO,123417.216
2021-02-01,Cuello uterino,FISSAL,PROCEDIMIENTO,246914.11
2021-02-01,Cuello uterino,SIS,INSUMO,1.87
2021-02-01,Cuello uterino,SIS,MEDICAMENTO,111.6
2021-02-01,Cuello uterino,SIS,PROCEDIMIENTO,515.94
2021-02-01,Estómago,FISSAL,INSUMO,122285.77
2021-02-01,Estómago,FISSAL,MEDICAMENTO,39604.1065
2021-02-01,Estómago,FISSAL,PROCEDIMIENTO,104506.65
2021-02-01,Estómago,SIS,INSUMO,43.62
2021-02-01,Estómago,SIS,MEDICAMENTO,200.0
2021-02-01,Estómago,SIS,PROCEDIMIENTO,82.28
2021-02-01,Leucemias,FISSAL,INSUMO,485277.36
2021-02-01,Leucemias,FISSAL,MEDICAMENTO,599582.091
2021-02-01,Leucemias,FISSAL,PROCEDIMIENTO,1265236.77
2021-02-01,Leucemias,SIS,INSUMO,69.7
2021-02-01,Leucemias,SIS,MEDICAMENTO,114.66
2021-02-01,Leucemias,SIS,PROCEDIMIENTO,3460.98
2021-02-01,Linfomas,FISSAL,INSUMO,87135.52
2021-02-01,Linfomas,FISSAL,MEDICAMENTO,164027.273
2021-02-01,Linfomas,FISSAL,PROCEDIMIENTO,298747.39
2021-02-01,Linfomas,SIS,INSUMO,337.51000000000005
2021-02-01,Linfomas,SIS,MEDICAMENTO,177.22
2021-02-01,Linfomas,SIS,PROCEDIMIENTO,2268.89
2021-02-01,Mama,FISSAL,INSUMO,127466.82
2021-02-01,Mama,FISSAL,MEDICAMENTO,313484.663
2021-02-01,Mama,FISSAL,PROCEDIMIENTO,371264.74
2021-02-01,Mama,SIS,INSUMO,446.73
2021-02-01,Mama,SIS,MEDICAMENTO,285.71
2021-02-01,Mama,SIS,PROCEDIMIENTO,2263.35
2021-02-01,No oncológico (comparador),FISSAL,INSUMO,904.25
2021-02-01,No oncológico (comparador),FISSAL,MEDICAMENTO,10995.01
2021-02-01,No oncológico (comparador),FISSAL,PROCEDIMIENTO,12626.0
2021-02-01,No oncológico (comparador),SIS,INSUMO,57873.65
2021-02-01,No oncológico (comparador),SIS,MEDICAMENTO,162755.52300000002
2021-02-01,No oncológico (comparador),SIS,PROCEDIMIENTO,273667.16
2021-02-01,Otro,FISSAL,INSUMO,21897.78
2021-02-01,Otro,FISSAL,MEDICAMENTO,21854.48
2021-02-01,Otro,FISSAL,PROCEDIMIENTO,60778.96
2021-02-01,Otro,SIS,INSUMO,1052313.063
2021-02-01,Otro,SIS,MEDICAMENTO,1558826.388
2021-02-01,Otro,SIS,PROCEDIMIENTO,1398551.45
2021-02-01,Próstata,FISSAL,INSUMO,25097.25
2021-02-01,Próstata,FISSAL,MEDICAMENTO,50454.950000000004
2021-02-01,Próstata,FISSAL,PROCEDIMIENTO,67847.78
2021-02-01,Próstata,SIS,INSUMO,4.18
2021-02-01,Próstata,SIS,MEDICAMENTO,191.9
2021-02-01,Próstata,SIS,PROCEDIMIENTO,263.62
2021-03-01,Colon,FISSAL,INSUMO,102350.51
2021-03-01,Colon,FISSAL,MEDICAMENTO,21391.276
2021-03-01,Colon,FISSAL,PROCEDIMIENTO,80240.82
