ANNIO,DESC_CONSUMO,diag_group,iafas,tipo_consumo,total_neto,total_cantidad
2021,ABIRATERONA (COMO ACETATO),Próstata,FISSAL,MEDICAMENTO,376446.55,78427
2021,ACETILCISTEINA,Colon,FISSAL,MEDICAMENTO,257.92,30
2021,ACETILCISTEINA,Cuello uterino,FISSAL,MEDICAMENTO,2475.66,166
2021,ACETILCISTEINA,Cuello uterino,SIS,MEDICAMENTO,32.24,2
2021,ACETILCISTEINA,Estómago,FISSAL,MEDICAMENTO,682.62,43
2021,ACETILCISTEINA,Leucemias,FISSAL,MEDICAMENTO,6407.7,423
2021,ACETILCISTEINA,Leucemias,SIS,MEDICAMENTO,15.5,6
2021,ACETILCISTEINA,Linfomas,FISSAL,MEDICAMENTO,4921.56,325
2021,ACETILCISTEINA,Linfomas,SIS,MEDICAMENTO,79.36,5
2021,ACETILCISTEINA,Mama,FISSAL,MEDICAMENTO,3800.6000000000004,238
2021,ACETILCISTEINA,Mama,SIS,MEDICAMENTO,48.36,3
2021,ACETILCISTEINA,Próstata,FISSAL,MEDICAMENTO,1021.76,64
2021,ACETILCISTEINA,Próstata,SIS,MEDICAMENTO,64.48,4
2021,ACICLOVIR,Colon,FISSAL,MEDICAMENTO,40.2,268
2021,ACICLOVIR,Colon,SIS,MEDICAMENTO,10.8,72
2021,ACICLOVIR,Cuello uterino,FISSAL,MEDICAMENTO,213.3,1422
2021,ACICLOVIR,Estómago,FISSAL,MEDICAMENTO,15.75,105
2021,ACICLOVIR,Leucemias,FISSAL,MEDICAMENTO,12984.3,88436
2021,ACICLOVIR,Leucemias,SIS,MEDICAMENTO,2.4,16
2021,ACICLOVIR,Linfomas,FISSAL,MEDICAMENTO,5465.55,36445
2021,ACICLOVIR,Mama,FISSAL,MEDICAMENTO,235.95,1643
2021,ACICLOVIR,Próstata,FISSAL,MEDICAMENTO,198.15,1321
2021,ACICLOVIR (COMO SAL SODICA),Colon,FISSAL,MEDICAMENTO,35.1,9
2021,ACICLOVIR (COMO SAL SODICA),Cuello uterino,FISSAL,MEDICAMENTO,23.4,6
2021,ACICLOVIR (COMO SAL SODICA),Cuello uterino,SIS,MEDICAMENTO,14.8,4
2021,ACICLOVIR (COMO SAL SODICA),Estómago,FISSAL,MEDICAMENTO,14.0,4
2021,ACICLOVIR (COMO SAL SODICA),Leucemias,FISSAL,MEDICAMENTO,17052.5,4836
2021,ACICLOVIR (COMO SAL SODICA),Leucemias,SIS,MEDICAMENTO,144.3,41
2021,ACICLOVIR (COMO SAL SODICA),Linfomas,FISSAL,MEDICAMENTO,3617.8,1036
2021,ACICLOVIR (COMO SAL SODICA),Linfomas,SIS,MEDICAMENTO,0.0,6
2021,ACICLOVIR (COMO SAL SODICA),Mama,FISSAL,MEDICAMENTO,59.2,16
2021,ACICLOVIR (COMO SAL SODICA),Próstata,FISSAL,MEDICAMENTO,23.4,6
2021,ACIDO ACETILSALICILICO,Colon,FISSAL,MEDICAMENTO,21.69,723
2021,ACIDO ACETILSALICILICO,Cuello uterino,FISSAL,MEDICAMENTO,40.77,1359
2021,ACIDO ACETILSALICILICO,Estómago,FISSAL,MEDICAMENTO,11.46,382
2021,ACIDO ACETILSALICILICO,Leucemias,FISSAL,MEDICAMENTO,242.58,8087
2021,ACIDO ACETILSALICILICO,Linfomas,FISSAL,MEDICAMENTO,134.31,4498
2021,ACIDO ACETILSALICILICO,Mama,FISSAL,MEDICAMENTO,262.23,8741
2021,ACIDO ACETILSALICILICO,Próstata,FISSAL,MEDICAMENTO,175.8,6220
2021,ACIDO ACETILSALICILICO,Próstata,SIS,MEDICAMENTO,0.93,31
2021,ACIDO ALENDRONICO (COMO ALENDRONATO SODICO),Cuello uterino,FISSAL,MEDICAMENTO,55.15,243
2021,ACIDO ALENDRONICO (COMO ALENDRONATO SODICO),Estómago,FISSAL,MEDICAMENTO,24.75,107
2021,ACIDO ALENDRONICO (COMO ALENDRONATO SODICO),Leucemias,FISSAL,MEDICAMENTO,6.0,40
2021,ACIDO ALENDRONICO (COMO ALENDRONATO SODICO),Linfomas,FISSAL,MEDICAMENTO,15.6,88
2021,ACIDO ALENDRONICO (COMO ALENDRONATO SODICO),Mama,FISSAL,MEDICAMENTO,12497.1,60059
2021,ACIDO ALENDRONICO (COMO ALENDRONATO SODICO),Mama,SIS,MEDICAMENTO,4.0,20
2021,ACIDO ALENDRONICO (COMO ALENDRONATO SODICO),Próstata,FISSAL,MEDICAMENTO,34.75,184
2021,ACIDO FOLICO,Colon,FISSAL,MEDICAMENTO,8.13,118
2021,ACIDO FOLICO,Cuello uterino,FISSAL,MEDICAMENTO,53.49,783
2021,ACIDO FOLICO,Estómago,FISSAL,MEDICAMENTO,64.35,675
